endbulb_class,hsr_num,msr_num,lsr_num,target_spont_rate,hsr_weight,msr_weight,lsr_weight
70%-depressing,45,0,0,7.5,1.09806060791e-08,0,0
70%-depressing,45,0,0,20.0,1.26430511475e-08,0,0
70%-depressing,45,0,0,50.0,1.53102874756e-08,0,0
tonic,50,0,0,7.5,5.0724029541e-09,0,0
tonic,50,0,0,20.0,5.88569641113e-09,0,0
tonic,50,0,0,50.0,7.13844299316e-09,0,0
yang2009,50,0,0,7.5,1.22753143311e-08,0,0
yang2009,50,0,0,20.0,1.41544342041e-08,0,0
yang2009,50,0,0,50.0,1.72931671143e-08,0,0
yang2009mean,50,0,0,7.5,1.70963287354e-08,0,0
yang2009mean,50,0,0,20.0,1.99604034424e-08,0,0
yang2009mean,50,0,0,50.0,2.4369430542e-08,0,0
10%-depressing,50,0,0,7.5,5.21430969238e-09,0,0
10%-depressing,50,0,0,20.0,6.05888366699e-09,0,0
10%-depressing,50,0,0,50.0,7.34672546387e-09,0,0
20%-depressing,50,0,0,7.5,5.44319152832e-09,0,0
20%-depressing,50,0,0,20.0,6.28700256348e-09,0,0
20%-depressing,50,0,0,50.0,7.63511657715e-09,0,0
30%-depressing,50,0,0,7.5,5.72624206543e-09,0,0
30%-depressing,50,0,0,20.0,6.59523010254e-09,0,0
30%-depressing,50,0,0,50.0,8.0150604248e-09,0,0
40%-depressing,50,0,0,7.5,6.13975524902e-09,0,0
40%-depressing,50,0,0,20.0,7.04383850098e-09,0,0
40%-depressing,50,0,0,50.0,8.54988098145e-09,0,0
50%-depressing,50,0,0,7.5,6.78443908691e-09,0,0
50%-depressing,50,0,0,20.0,7.78007507324e-09,0,0
50%-depressing,50,0,0,50.0,9.44557189941e-09,0,0
60%-depressing,50,0,0,7.5,7.90519714355e-09,0,0
60%-depressing,50,0,0,20.0,9.07249450684e-09,0,0
60%-depressing,50,0,0,50.0,1.10111236572e-08,0,0
70%-depressing,50,0,0,7.5,1.03870391846e-08,0,0
70%-depressing,50,0,0,20.0,1.19724273682e-08,0,0
70%-depressing,50,0,0,50.0,1.45595550537e-08,0,0
tonic,55,0,0,7.5,4.87785339355e-09,0,0
tonic,55,0,0,20.0,5.63774108887e-09,0,0
tonic,55,0,0,50.0,6.73332214355e-09,0,0
yang2009,55,0,0,7.5,1.18213653564e-08,0,0
yang2009,55,0,0,20.0,1.354637146e-08,0,0
yang2009,55,0,0,50.0,1.61792755127e-08,0,0
yang2009mean,55,0,0,7.5,1.65897369385e-08,0,0
yang2009mean,55,0,0,20.0,1.9119644165e-08,0,0
yang2009mean,55,0,0,50.0,2.2668838501e-08,0,0
10%-depressing,55,0,0,7.5,5.0235748291e-09,0,0
10%-depressing,55,0,0,20.0,5.80863952637e-09,0,0
10%-depressing,55,0,0,50.0,6.93626403809e-09,0,0
20%-depressing,55,0,0,7.5,5.23414611816e-09,0,0
20%-depressing,55,0,0,20.0,6.03141784668e-09,0,0
20%-depressing,55,0,0,50.0,7.20558166504e-09,0,0
30%-depressing,55,0,0,7.5,5.50422668457e-09,0,0
30%-depressing,55,0,0,20.0,6.32743835449e-09,0,0
30%-depressing,55,0,0,50.0,7.57484436035e-09,0,0
40%-depressing,55,0,0,7.5,5.87348937988e-09,0,0
40%-depressing,55,0,0,20.0,6.74247741699e-09,0,0
40%-depressing,55,0,0,50.0,8.10966491699e-09,0,0
50%-depressing,55,0,0,7.5,6.47087097168e-09,0,0
50%-depressing,55,0,0,20.0,7.38639831543e-09,0,0
50%-depressing,55,0,0,50.0,8.9282989502e-09,0,0
60%-depressing,55,0,0,7.5,7.5740814209e-09,0,0
60%-depressing,55,0,0,20.0,8.64753723145e-09,0,0
60%-depressing,55,0,0,50.0,1.04228973389e-08,0,0
70%-depressing,55,0,0,7.5,9.9681854248e-09,0,0
70%-depressing,55,0,0,20.0,1.13834381104e-08,0,0
70%-depressing,55,0,0,50.0,1.36730194092e-08,0,0
tonic,60,0,0,7.5,4.71229553223e-09,0,0
tonic,60,0,0,20.0,5.39512634277e-09,0,0
tonic,60,0,0,50.0,6.4769744873e-09,0,0
yang2009,60,0,0,7.5,1.12567901611e-08,0,0
yang2009,60,0,0,20.0,1.29428863525e-08,0,0
yang2009,60,0,0,50.0,1.56345367432e-08,0,0
yang2009mean,60,0,0,7.5,1.57543182373e-08,0,0
yang2009mean,60,0,0,20.0,1.8111038208e-08,0,0
yang2009mean,60,0,0,50.0,2.184715271e-08,0,0
10%-depressing,60,0,0,7.5,4.85191345215e-09,0,0
10%-depressing,60,0,0,20.0,5.56526184082e-09,0,0
10%-depressing,60,0,0,50.0,6.68525695801e-09,0,0
20%-depressing,60,0,0,7.5,5.04035949707e-09,0,0
20%-depressing,60,0,0,20.0,5.7933807373e-09,0,0
20%-depressing,60,0,0,50.0,6.93550109863e-09,0,0
30%-depressing,60,0,0,7.5,5.30204772949e-09,0,0
30%-depressing,60,0,0,20.0,6.07795715332e-09,0,0
30%-depressing,60,0,0,50.0,7.28645324707e-09,0,0
40%-depressing,60,0,0,7.5,5.66368103027e-09,0,0
40%-depressing,60,0,0,20.0,6.47315979004e-09,0,0
40%-depressing,60,0,0,50.0,7.7953338623e-09,0,0
50%-depressing,60,0,0,7.5,6.22596740723e-09,0,0
50%-depressing,60,0,0,20.0,7.18040466309e-09,0,0
50%-depressing,60,0,0,50.0,8.5506439209e-09,0,0
60%-depressing,60,0,0,7.5,7.23762512207e-09,0,0
60%-depressing,60,0,0,20.0,8.34617614746e-09,0,0
60%-depressing,60,0,0,50.0,9.90715026855e-09,0,0
70%-depressing,60,0,0,7.5,9.59815979004e-09,0,0
70%-depressing,60,0,0,20.0,1.10271453857e-08,0,0
70%-depressing,60,0,0,50.0,1.31343841553e-08,0,0
tonic,65,0,0,7.5,4.61082458496e-09,0,0
tonic,65,0,0,20.0,5.25779724121e-09,0,0
tonic,65,0,0,50.0,6.17713928223e-09,0,0
yang2009,65,0,0,7.5,1.10164642334e-08,0,0
